890	恨
891	恩
892	恬
893	恭
894	息
895	恰
896	恳
897	恶
898	恹
899	恼
900	悄
901	悉
902	悟
903	悠
904	悦
905	您
906	悬
907	悯
908	悲
909	悸
910	悻
911	悼
912	情
913	惊
914	惑
915	惚
916	惜
917	惟
918	惧
919	惨
920	惫
921	惮
922	惯
923	想
924	惶
925	惹
926	惺
927	愈
928	意
929	愕
930	感
931	愣
932	愤
933	愧
934	愿
935	慌
936	慕
937	慢
938	慰
939	慵
940	憋
941	憎
942	懂
943	懈
944	懊
945	懒
946	戏
947	成
948	我
949	或
950	战
951	截
952	戳
953	戴
954	户
955	房
956	所
957	扇
958	手
959	才
960	扎
961	扑
962	扒
963	打
964	扔
965	托
966	扛
967	扣
968	执
969	扩
970	扫
971	扬
972	扭
973	扮
974	扯
975	扰
976	扳
977	扶
978	批
979	找
980	承
981	技
982	抄
983	把
984	抑
985	抒
986	抓
987	投
988	抖
989	抗
990	折
991	抛
992	抠
993	抡
994	抢
995	护
996	报
997	披
998	抬
999	抱
1000	抹
1001	抽
1002	抿
1003	拂
1004	担
1005	拆
1006	拉
1007	拌
1008	拍
1009	拎
1010	拐
1011	拒
1012	拓
1013	拔
1014	拖
1015	拙
1016	招
1017	拜
1018	拟
1019	拢
1020	拣
1021	拥
1022	拦
1023	拧
1024	拨
1025	择
1026	括
1027	拳
1028	拷
1029	拼
1030	拽
1031	拾
1032	拿
1033	持
1034	挂
1035	指
1036	按
1037	挑
1038	挖
1039	挡
1040	挣
1041	挤
1042	挥
1043	挨
1044	挪
1045	挫
1046	振
1047	挲
1048	挺
1049	挽
1050	捂
1051	捅
1052	捉
1053	捏
1054	捐
1055	捕
1056	捞
1057	损
1058	捡
1059	换
1060	捧
1061	据
1062	捶
1063	掀
1064	掉
1065	掌
1066	掏
1067	掐
1068	排
1069	掠
1070	探
1071	接
1072	控
1073	推
1074	掩
1075	措
1076	揄
1077	揉
1078	描
1079	提
1080	插
1081	握
1082	揣
1083	揶
1084	搁
1085	搂
1086	搅
1087	搐
1088	搓
1089	搜
1090	搞
1091	搪
1092	搬
1093	搭
1094	摄
1095	摆
1096	摇
1097	摊
1098	摔
1099	摘
1100	摩
1101	摸
1102	撂
1103	撇
1104	撑
1105	撒
1106	撕
1107	撞
1108	撤
1109	撩
1110	播
1111	擂
1112	操
1113	擦
1114	支
1115	收
1116	改
1117	放
1118	故
1119	效
1120	敏
1121	救
1122	教
1123	敛
1124	敞
1125	敢
1126	散
1127	敬
1128	数
1129	敲
1130	整
1131	敷
1132	文
1133	斑
1134	斓
1135	斗
1136	料
1137	斜
1138	斤
1139	断
1140	斯
1141	新
1142	方
1143	旁
1144	旅
1145	旋
1146	旗
1147	无
1148	既
1149	日
1150	旦
1151	旧
1152	早
1153	旱
1154	时
1155	旷
1156	旺
1157	昂
1158	昆
1159	明
1160	昏
1161	易
1162	昙
1163	星
1164	映
1165	春
1166	昨
1167	是
1168	昼
1169	显
1170	晃
1171	晌
1172	晒
1173	晓
1174	晕
1175	晚
1176	晦
1177	晨
1178	普
1179	景
1180	晰
1181	晴
1182	晶
1183	暇
1184	暑
1185	暖
1186	暗
1187	暮
1188	暴
1189	曙
1190	曝
1191	曲
1192	曳
1193	更
1194	曾
1195	替
1196	最
1197	月
1198	有
1199	朋
1200	服
1201	朗
1202	望
1203	朝
1204	期
1205	朦
1206	木
1207	未
1208	末
1209	本
1210	术
1211	朵
1212	机
1213	朽
1214	杀
1215	杂
1216	杆
1217	杈
1218	李
1219	材
1220	束
1221	条
1222	来
1223	杯
1224	杰
1225	松
1226	板
1227	极
1228	构
1229	析
1230	枕
1231	林
1232	枚
1233	果
1234	枝
1235	枪
1236	枯
1237	架
1238	柄
1239	柏
1240	某
1241	染
1242	柔
1243	柜
1244	柠
1245	查
1246	柱
1247	标
1248	栋
1249	栏
1250	树
1251	栓
1252	校
1253	样
1254	核
1255	根
1256	格
1257	框
1258	案
1259	桌
1260	桐
1261	桠
1262	档
1263	桥
1264	桩
1265	桶
1266	梁
1267	梅
1268	梦
1269	梧
1270	梯
1271	检
1272	棉
1273	棋
1274	棍
1275	棘
1276	棚
1277	森
1278	棱
1279	棵
1280	棺
1281	椅
1282	植
1283	楔
1284	楚
1285	楠
1286	楼
1287	概
1288	槽
1289	模
1290	横
1291	橘
1292	橡
1293	橱
1294	檬
1295	欠
1296	次
1297	欢
1298	欧
1299	欲
1300	欸
1301	欺
1302	歇
1303	歉
1304	歌
1305	止
1306	正
1307	此
1308	步
1309	武
1310	歪
1311	歹
1312	死
1313	殃
1314	残
1315	殴
1316	段
1317	毁
1318	母
1319	每
1320	毒
1321	比
1322	毕
1323	毙
1324	毛
1325	毫
1326	毯
1327	民
1328	氓
1329	气
1330	氛
1331	氧
1332	氨
1333	水
1334	永
1335	汁
1336	求
1337	汇
1338	汐
1339	汗
1340	江
1341	池
1342	污
1343	汤
1344	汩
1345	汪
1346	汹
1347	汽
1348	沃
1349	沉
1350	沌
1351	沙
1352	沟
1353	没
1354	沫
1355	河
1356	沸
1357	油
1358	治
1359	沾
1360	沿
1361	泄
1362	泉
1363	泊
1364	法
1365	泛
